id,type,tweet,label
4.72E+17,train,"Dad bought 2 kayaks, but friends can't use the 2nd one, no one else in my family likes to kayak, and I can't go alone...makes sense. #not",Sarcasm
4.63E+17,train,Yup like he did all season long #Sarcasm RT @JoshEberley: LeBron is going to do bad things to the Nets.,Sarcasm
4.64E+17,train,"America is endless war, massive debt   Virtually, all nations have succumbed to this tyranny, with two notable exceptions, Russia &China",Not Sarcasm
4.73E+17,train,"When the Fortune 500 co's profit is over $1trillion it's a sin. When the nations debt is over $1trillion , not so much. #irony",Not Sarcasm
4.72E+17,train,Back to class for me. Almost two hours of Shakespeare and Renaissance await me. Oh joy! #not,Sarcasm
4.63E+17,test,101.4 fever. I'm livin' the dream #sarcasm,Sarcasm
4.63E+17,train,Love starting my Monday off with a nice phone call to the folks at Good2Go WSDOT. Their customer service levels know no bounds. #sarcasm,Sarcasm
4.73E+17,train,@pileoftwit @nhdogmom they'll be happy to have weapons then...can blast their way out! #irony,Not Sarcasm
4.72E+17,train,What do I have to do on this fine Friday night? Absolutely NOTHING omg yay 4 me #not #nofriends  :~),Sarcasm
4.65E+17,train,"""Edith's about as mysterious as a bucket."" Sometimes Downton Abbey shade is darker than anything else I've ever heard.",Not Sarcasm
4.72E+17,train,Getting pulled over is a great way to start my summer. #not,Sarcasm
4.72E+17,train,I totally love it when I walk around with deodorant marks on my shirt all day. #Not #StruggleBusLife,Sarcasm
4.76E+17,test,I was cycling earlier and nearly got hit by an ambulance. #irony,Not Sarcasm
4.75E+17,train,"After asking staff at @WalmartCanada to call another store to confirm inventory they said: ""It's hard to get thru you know."" #irony",Not Sarcasm
4.63E+17,train,@BWWings glad I came out to watch the Minny and blackhawks intermission... #Sarcasm #ChangeTheDamnChannel,Sarcasm
4.73E+17,test,@JMV1070 Glad Paul George told #ChrisHaggen that he was going to come out aggressive.#not,Sarcasm
4.73E+17,train,Shout out to @CrestynWhite for following me on twitter!!!! #NOT,Sarcasm
4.72E+17,train,#Tibetan is #not the same as Chinese but a completely different & unique #language #trueTibet,Not Sarcasm
4.72E+17,train,Watching @MTV there is someone featuring  on a programme called mahogany but not a bit tough #irony,Not Sarcasm
4.65E+17,test,My phone screen is just about as shattered as all my hopes and dreams.,Not Sarcasm
4.72E+17,train,NC #Democrat @SenatorHagan forces #ObamaCare down our throats but now condemns the VA for inferior health care? #irony,Not Sarcasm
4.63E+17,train,"It's okay people on the platform massing around the train door wanting to get on, I can phase through matter I'm like Shadowcat #Sarcasm",Sarcasm
4.73E+17,train,Great idea not to wear sun cream today #not #burnt,Sarcasm
4.73E+17,train,ready to start 3 weeks of prac in a kindergarten classroom tomorrow #not,Sarcasm
4.63E+17,train,You know what really helps my recent abandonment issues ? When EVERYONE leaves suddenly and I'm alone. #sarcasm #foreveralone #depression,Sarcasm
4.73E+17,train,Thunder are going to be in big trouble without Derek Fisher next season. #Not,Sarcasm
4.63E+17,train,@whitneyltuttle @sargentcass Uffda. He sounds like a charming fellow. #sarcasm,Sarcasm
4.60E+17,train,Waking up at 3am for no reason! It's super fun! #sarcasm,Sarcasm
4.64E+17,train,wow i didnt realize how hungry i was until my friend asked me if i had eaten anything yet tHANKS SO MUCH JAYPEE THANK U lol #sarcasm,Not Sarcasm
4.63E+17,train,"@Gbone82 At least he keeps possession well and never kicks it straight in to touch, that's the main thing #sarcasm",Sarcasm
4.72E+17,train,So this is ironic: I'm cooking chicken stock while vigilantly guarding the chicken coop against our local bear. #countrylife #irony,Not Sarcasm
4.64E+17,train,@thEnafe94 there are many things he's doing right in life. #sarcasm,Sarcasm
4.63E+17,train,andyandandybruce and I are super talented sign makers at 11 pm.  #sarcasm #thegreatyardsale2014 instagram.com/p/nl-zZWqC0c/,Sarcasm
4.72E+17,test,@tenajtiger says its going to be a heady 13 degs here today sundress on it is then #not back in a fleece and the plants are all hiding,Sarcasm
4.75E+17,train,@CIA has almost a half million followers but is only following 25 ppl. #irony,Not Sarcasm
4.73E+17,train,You are Governor of your Mind #Not me : Makv @makvg #makvquiz #askmakv #communication #algeria,Not Sarcasm
4.72E+17,train,There are so many people wearing Hawaiian shirts around here that I feel like an outsider. #irony,Not Sarcasm
4.72E+17,train,@ajaugello1 yeah you're right you have the sickest flow on the team aj #not,Sarcasm
4.72E+17,train,"@small_affair Same here, my company is about to cover it, but Fortuna decreed that I pull in some lagniappe to take off the edge so to speak",Not Sarcasm
4.73E+17,train,Just love cleaning up cat sick straight after dinner #not #disgusting,Sarcasm
4.63E+17,train,New shisha bar opening soon on the #CurryMile.. now that's novel! #sarcasm pic.twitter.com/r5azikiwmm,Sarcasm
4.63E+17,train,Yay for another women's match horribly placed in the PPV line-up! #sarcasm #ExtremeRules #WMRepeat,Sarcasm
4.63E+17,train,Shocked lol.  It's playoff season and there's no hockey on @TSN_Sports #sarcasm,Sarcasm
4.63E+17,train,Let's see how loud you can get your motorcycle!? cus I think it's cool to be annoying... #sarcasm,Sarcasm
4.74E+17,train,@MediacomSupport is having me fax my bank statement as proof of payment. #Irony #1990sService #FaxMachine #EcoBilling,Not Sarcasm
4.73E+17,train,@RadioShack loved having 1 of your employees come in to where I work& harass me while I'm working to shop at your store #NOT #Unprofessional,Sarcasm
4.76E+17,train,Former #college stars sue #NCAA over #money. Does anyone else but me see the #irony here?,Not Sarcasm
4.72E+17,test,"I always find it bizarre how the proclaimed ""investors"" spend more time watching the tick-by-tick action than the day-traders. #Funny #Irony",Not Sarcasm
4.64E+17,test,@Crows_Fan_Aaron @CMSean23 I'm taking the piss..... #sarcasm,Not Sarcasm
4.73E+17,test,What a beautiful day to spend inside #sarcastictweet,Sarcasm
4.73E+17,train,I really wish I could say I was getting my license Monday. #not #gottawait #september,Sarcasm
4.72E+17,train,Knitting needle in my foot was a nice end to my night. #not,Sarcasm
4.73E+17,test,#Yoganomics is #not affiliated with these #spam accounts:  @mmantra1 @meditation1988 @yogajoy11 @yogaclass4u @yogaguru5 @yogadealz36,Not Sarcasm
4.76E+17,train,Could Not SarcasmLY cry waiting to get my eyebrows threaded,Not Sarcasm
4.63E+17,train,"Whoopey, I have a walk-in. Yay for Monday.  #sarcasm",Sarcasm
4.73E+17,train,Show me a #itk with references to #lfc & Ricky Lambert on their twitter TL from a week ago.  I'll sit here and wait for all the replies #not,Sarcasm
4.63E+17,train,So ready to go to our nice lovely school. Where everyone likes me and we can all be ourselves #sarcasm,Sarcasm
4.72E+17,test,@_aylesbury @olliffejames Maybe Ukip have a point. No more lawn fairies playing football!  Might have to vote for them. #not,Sarcasm
4.72E+17,train,#Tibet was #not 'liberated' by China but invaded & illegally occupied #trueTibet,Not Sarcasm
4.72E+17,train,"#Tibet was #not a perfect society but compared to the genocide of China's recent history, it was a relative paradise  #trueTibet",Not Sarcasm
4.72E+17,train,Honestly It feels like my parents just think I'm not good enough for anything  and I fail more than I succeed. #thx4thesupport #NOT,Not Sarcasm
4.72E+17,train,Just saw an undercover Seattle police officer driving an escape pull someone over. #irony,Not Sarcasm
4.72E+17,train,spenDING MONEY isntz a FUN GAMES. #NOT likes making it #BLASKOKNOWS,Not Sarcasm
4.74E+17,train,Probably been pointed out by now that David Villa just won La Liga with a team that wears Red and White stripes. #irony,Not Sarcasm
4.73E+17,train,No you just got it. RT @Hebel1_2: “@baron_batch: Mismanagement if life is simply the mismanagement of words.” #irony,Not Sarcasm
4.72E+17,train,Why in the world would you ever drink paint? #yum #not,Not Sarcasm
4.72E+17,train,Post night shift. Waiting on slowest barrista in the world! No energy to get upset til I've consumed coffee #irony #nightshiftproblems,Not Sarcasm
4.74E+17,train,"@JeffReedMO @upstateNYgolfer I'm pretty bitter to everyone. An equal-opportunity bitterness, so to speak.",Not Sarcasm
4.63E+17,train,Is it time to start drinkin yet?? Lol rodeo team will begin when classes r over.. Cause everyone knows education comes first!! Haha #sarcasm,Sarcasm
4.72E+17,train,"@Xandara I'm glad to hear that at least you're unpacked, so to speak. Keep on truckin', mama! <3",Not Sarcasm
4.75E+17,train,"Just seen a Cardiff fan mock the Villa over Senderos' statement that Villa are a ""great club"". Yes, a Cardiff fan. #irony",Not Sarcasm
4.73E+17,train,"Safe to say I am furious and cannot speak to her , looked forward to it so much and missed the KO! #NotHappy",Not Sarcasm
4.75E+17,test,England match abandoned due to thunder storm. Great timely advert!! #irony #EngvHon pic.twitter.com/iUJcLhhRXx,Sarcasm
4.72E+17,test,I love randomly waking up in the middle of the night #not #justwannasleep,Sarcasm
4.72E+17,train,wow just had kagerou project spoiled that is #not #cool,Not Sarcasm
4.65E+17,train,@KaeyiDream I got my first phone a week before year 7. I still have it three years later. It's quite literally a brick. No Internet either,Not Sarcasm
4.72E+17,test,@NiallHoranHasnt and the party was so much fun #not because it was in her house but she was outside with some people all the time,Sarcasm
4.63E+17,train,I bet the only reason how 50% of the U.S Knows how 2 read is because of Twitter #sarcasm,Sarcasm
4.63E+17,train,@BruceMiles2112 That there is national tv material #sarcasm,Sarcasm
4.72E+17,train,Can't wait to see all those tweets about pretty little lairs again... #NOT,Sarcasm
4.63E+17,test,"I wish I had ""Cinco De Mayo"" off so I could go get hammer faced....... #ToBeAKidAgain .....#Sarcasm",Sarcasm
4.63E+17,train,Another wreck....Who Knew?  #Sarcasm #Aarons499 #NASCAR,Not Sarcasm
4.72E+17,train,@GaryLineker #not quiet impressed with the way England is playing yet # no spark... Jo Heart man if the match over all good result though,Not Sarcasm
4.64E+17,train,Not all of us have cargo pants to strut you know #justsaying #sarcasm,Not Sarcasm
4.63E+17,train,My mum said I'm not even close to being 20 :D And that my mentality is not even of a 19 year old. #flattered #sarcasm,Not Sarcasm
4.72E+17,test,#Google to make available details requested to be deleted as part of 'right to forget' form #irony bbc.co.uk/news/technolog…,Not Sarcasm
4.73E+17,train,Gonna have dinner night to the light of candles lmao #not,Sarcasm
4.73E+17,train,When people send question marks as form on how to start a conversation? #Smooth #Not,Not Sarcasm
4.72E+17,test,I absolutely love hearing all about coworker outings that I wasn't invited to. #MyFave #NOT,Sarcasm
4.72E+17,train,Isn't it the best when your hangover hits you at 1pm? #not #psych #owmyhead,Sarcasm
4.72E+17,train,@9smiler Spike was singing his praises at his book launch today. #not #shreddedhim,Sarcasm
4.73E+17,train,Thank you man on the plane for  coughing in my general direction and subsequently putting your ass in my face #not,Sarcasm
4.72E+17,test,Good to know Skinny Cow brand now sells candy and frozen-treats. #not,Sarcasm
4.72E+17,train,'Time of your life' playing through the ceiling. #irony #lastexam #lastdayatuni #forever,Not Sarcasm
4.65E+17,train,don't you love when you believe someone and they turn out to be a fucking fake hypocritical liar,Not Sarcasm
4.72E+17,test,I hope kenny keeps kicking my seat i reaply enjoy it #not #h8you,Sarcasm
4.65E+17,train,Russia's record in gay rights is about as good as it's record in non-potato based alcohol.,Not Sarcasm
4.73E+17,train,I broke my bed. Smh... Now I gotta get me a new one. #great #NOT,Not Sarcasm
4.72E+17,train,"Customer just asked if he could ""speak to a man"" when the answer wasn't what he wanted to hear. So no #NotAllMen, but #YesAllWomen",Not Sarcasm
4.63E+17,test,"Oh good, the shield versus the Wyatt family. Cause I haven't seen that this year #Raw #sarcasm",Sarcasm
4.72E+17,train,Ben thinks he's so tough now cause he drives a Harley Davidsonnnn #OoooOooImscurrred #Not,Not Sarcasm
4.63E+17,train,...because calling people out is the way to reach out to them. #sarcasm,Sarcasm
4.72E+17,train,First step in the DIY instructions for fixing a broken iPhone power button is powering off the phone. #irony #fail m.imore.com/how-diy-repair…,Not Sarcasm
4.73E+17,train,@taraelanna all these Mindy tweets make me so excited to come home #not,Sarcasm
4.64E+17,test,@isurvivalskills @atomiktiger Ahhh hahahaha!  We got food .. How about water?  So freaking dangerous! Must ban that too! #sarcasm warning!,Sarcasm
4.72E+17,test,Nothing like having a panic attack out of nowhere #not,Sarcasm
4.72E+17,train,Lets see how late my thoughts keep me up tonight #goodnight #not,Not Sarcasm
4.72E+17,test,@wbir they look like a bunch of scholars that are headed to Harvard. #NOT,Sarcasm
4.72E+17,train,I so wanted a little lunch nap. Tried and tried but just wouldn't happen. #naptime #not,Not Sarcasm
4.76E+17,train,@pyt10071989 ash it's literally non stop jokes it's that's good I need to watch it again like now haha,Not Sarcasm
4.72E+17,test,@ashleydeutsch He's only a little douchey #RightSwipe But I #PlayHardtoGet #Irony #Office #OhhGeez But then I get fired not you...,Not Sarcasm
4.72E+17,train,Love to know my 400 dollars I pay a month to campus ridge provides me with a safe and secure place to live #NOT,Sarcasm
4.66E+17,train,Always hilarious when somebody tweets complaining about someone when they are exactly the same #irony,Not Sarcasm
4.72E+17,train,New NHS chief suggests that businesses should financially reward employees for losing weight and adopting a healthy lifestyle #not@mysurgery,Not Sarcasm
4.73E+17,test,The crowd doing the wave in the background should make him feel a bit better. #not #mexecu,Sarcasm
4.60E+17,test,Love when you're wide awake at 3 in the morning like I really wanted to think about everything going on #sarcasm,Sarcasm
4.76E+17,train,@smwalters6 it's literally so much lmao. And I pretty much curve this nigga once a week,Not Sarcasm
4.72E+17,train,#Tibet is #not a small #Himalayan #kingdom It's about three times the size of #Texas! #trueTibet,Not Sarcasm
4.72E+17,train,@juicyjustinbieb just followed me and I got excited for a second #not,Sarcasm
4.75E+17,test,"Fiji water is the most expensive h2o in America, yet you can't drink the water when you're actually here... #irony",Not Sarcasm
4.72E+17,test,Louise talking about diets is like me talking about having a proper job #Irony,Not Sarcasm
4.72E+17,train,"Modi came to power by bashing Gandhi dynasty, now they are talking his partnership with Pranav Mistry like Rajiv had with Pitroda  #irony",Not Sarcasm
4.72E+17,train,Just got an email from @eBay asking me to reset my password. I’m so glad they are on top of security. #sarcasm,Sarcasm
4.73E+17,test,"It doesn't matter how much you suffer, never mention #notallmens errors, lest society crumble and males feelings get hurt #sarcasm",Sarcasm
4.65E+17,train,@louistheroux about as subtle as a wrecking ball on a demo site lol,Not Sarcasm
4.72E+17,train,So who writes the poem about Maya Angelou dying? #ponderit #irony,Not Sarcasm
4.72E+17,test,Thought of the day #Perform #under #passion #not #pressure by our own Vardhan Sir @OfficialSHQfc @8paramsingh @kripsuri @HarshitaGaur12  <3,Not Sarcasm
4.63E+17,train,Really hope people don't think I'm serious about that... #humor #sarcasm #lol #laughoutloud,Not Sarcasm
4.73E+17,train,@Jaketapper: We need more coverage on the way the republicans have trashed NC. Our state was once the darling of the south.#Not anymore!,Not Sarcasm
4.64E+17,train,And who would have thought feathers would make maternity wear? #sarcasm,Not Sarcasm
4.73E+17,train,Spending the day with my family is such a blast. #Not,Sarcasm
4.65E+17,test,I'm about as confident as a wet turd.,Sarcasm
4.73E+17,train,"Twitch will never load who's watching for me on any channel. It's pretty great. #not #laterman If you're watching, say hi so I know you are!",Sarcasm
4.64E+17,train,My favourite mythical creatures are the happy girls in tampon commercials #YeahRight,Not Sarcasm
4.63E+17,test,So...anybody know what the date is today? #Sarcasm,Not Sarcasm
4.63E+17,train,Because we didn't see this coming. #RAW #Sarcasm,Sarcasm
4.73E+17,train,I love when my mom plans pretty much a grad party for me when I had already told her I just wanted a family dinner. #not,Sarcasm
4.64E+17,train,"@OtherJohnII @otherjohnii @mc79hockey my oil missed out on Schneider, they won't on Kesler. 3rd overall and gagner. #sarcasm",Sarcasm
4.63E+17,train,"before I die, I want to go on a tour throwing eggs at all of the frank lloyd wright houses.   #sarcasm #terriblepersonideas #wouldbefunnytho",Sarcasm
4.63E+17,test,May the 4th be with you??? I just don't get it!!! #Sarcasm #ImNotANerd #Jokes,Sarcasm
4.76E+17,train,I mean I can't be too good when I very seriously and literally use the bitch clap.,Not Sarcasm
4.60E+17,train,Parties were you dont know people are the best!!!! #Sarcasm,Sarcasm
4.72E+17,train,Procrastinating going to bed - because I'm too tired to do the bedtime ritual. #irony,Not Sarcasm
4.73E+17,test,Made an Instagram. Because we all know I just need another social media account. #not,Sarcasm
4.72E+17,train,Im sorry to everybody who has to watch me dance tonight #Not #DealWithIt,Sarcasm
4.63E+17,train,"Well, 1st qtr goes to the refs. Nice job guys #sarcasm #pacers #lamesauce",Sarcasm
4.65E+17,train,"Parker is thoroughly outplaying Lillard in the series. He's been baptized, so to speak. Interesting to see how he fares next year.",Not Sarcasm
4.73E+17,train,@DarthMeerkat @brewer_lar So animal loving vegans don't take the time to understand the needs of their cat? #irony Cats NEED meat!,Not Sarcasm
4.75E+17,train,"""I can see someone like me being arrogant,  but I'm not."" #irony",Not Sarcasm
4.63E+17,train,Love it when plans come together #sarcasm,Sarcasm
4.74E+17,train,@muafckinDriaaa u tell me text u but u don't text back #irony of dat,Not Sarcasm
4.72E+17,train,"Never, never, EVER would I stay up this late. It's now 4 days of this and it's all thanks to @alyssaher.   #SarcasticTweet #NotThankful",Not Sarcasm
4.64E+17,train,"...welp, lmaooo didn't see this coming #sarcasm #raw...",Not Sarcasm
4.73E+17,test,Waking up early in the morning at is not my thing! #sleepie #not #morningperson,Not Sarcasm
4.73E+17,train,I just passed a dead road-killed bear cub on the side of the highway. #irony #Brewers #fb,Not Sarcasm
4.73E+17,test,@Mattys123 terrific news #not  Well I'll just have to hope they choose now to rectify that stat.,Sarcasm
4.73E+17,train,"Wow a year ago today I arrived in LA. I still love you, City of Angels, but I don't love your hockey team #sorry #not",Not Sarcasm
4.75E+17,train,LeBron can't take the Heat. #irony #NBAFinals,Not Sarcasm
4.75E+17,train,walb.com/Global/story.a… Poker game among town leaders busted and all arrested. #irony #hypocrisy,Not Sarcasm
4.72E+17,train,I can't believe I waited 20m for a bus only to have it be delayed by too many busses getting in each others way #Irony #MKTransport #Arriva,Not Sarcasm
4.72E+17,test,Must appreciate Ashwin for that well thought out plan. #NOT,Sarcasm
4.73E+17,train,Woo! I have to be with my little brothers 8th grade buddies again tonight! Yay! So excited! #Not #Sarcasm,Sarcasm
4.75E+17,train,"Some people keep a superb lawn but dirty, unkempt house. #Irony",Not Sarcasm
4.72E+17,train,Knock down my walls ? I promise ill be quiet haha #Not,Sarcasm
4.72E+17,train,Had no idea so many people I know were such ardent Maya Angelou fans #sarcasm,Sarcasm
4.76E+17,test,How am I still not good enough for you? I'm literally a model compared to you,Not Sarcasm
4.63E+17,train,I've really enjoyed sitting in Walter 145 for the past 8 1/2 hours...#sarcasm,Sarcasm
4.63E+17,train,I really appreciate what you did. #sarcasm,Sarcasm
4.63E+17,train,It's nice to see that I'm the last one who's told anything. #sarcasm,Sarcasm
4.72E+17,train,Reading a book on why you shouldn't procrastinate to the kids I'm babysitting to put off studying #irony,Not Sarcasm
4.73E+17,train,Guess it's a good time to move on and make new/better friends.  Ya think you know someone... #bestfriends #not #betrayal,Not Sarcasm
4.76E+17,train,@sunflowers83 for pretty little liars? Literally I'm barely on episode one watching it on Netflix an it's pretty good.,Not Sarcasm
4.72E+17,train,Gutted about the result tonight .. Hate losing nippers like that! At least we've got the 3 and half hour drive tomorrow to Brighton! #not!,Sarcasm
4.63E+17,test,@techiskwl I don't use sarcasm EVER either nor do I hand out papers #papercuts #sarcasm #caedchat,Sarcasm
4.63E+17,train,"George Washington: Okay british we are gonna ""attack"" new york. #sarcasm",Not Sarcasm
4.73E+17,train,"@Courtneyy_Ann24 oh yeah let me just do that one real quick, it'll sound really good acoustic. #not",Sarcasm
4.72E+17,train,My dad is such a riveting person to converse with #not,Sarcasm
4.00E+17,train,It's rude to be happy in an office.,Not Sarcasm
4.72E+17,train,I love how my phone goes from 91% to 56% in a half hour. #not #iphoneProblems #iphone,Sarcasm
4.72E+17,train,"@AnikaNoniRose #Irony Beside the message behind ""Golddigger"", Ray was phenomenal just listening to the Ray movie soundtracks!!",Not Sarcasm
4.64E+17,train,Mine would say #prone to #sarcasm and #suddenoutbursts lol! What would.yours? instagram.com/p/npbH8JpGbn/,Not Sarcasm
4.73E+17,train,ur rly dark ur rly dark and ur mean and ur dark and ur a fag and ur my uh ya. ur my bfffff. #not oh did i mention ur dark? HAHAHA FAG BYE,Sarcasm
4.72E+17,test,"working like a donkey, feeling like an ass #not #a #good #day",Not Sarcasm
4.63E+17,train,"@ej1freak #SundaySalute to my worst follower. She's not cool, not sweet & not awesome. She's so cocky & she thinks she's hilarious #SARCASM",Sarcasm
4.73E+17,train,@srrohohyes Including starving kids in Africa? Way to go God! Count me in too. #not #atheism,Not Sarcasm
4.73E+17,train,Please tell me more about how you came to our country and now want us to change our traditions because they offend you. #NOT,Sarcasm
4.75E+17,train,"If the @MiamiHEAT blame the ""HEAT"" at @Spurs AT&T Center I'm gonna lose my mind. #irony #MIAvsSA #GoSpursGo",Not Sarcasm
4.73E+17,train,S/O to MaShawn Sims and Ja Iaintmadatcha Will for our weight loss bet...I won!!! $300!!! Drinks on me #NOT!!! #GiveMeMyMoney!!!,Not Sarcasm
4.72E+17,train,A Spicy Ice Cream on a Hot Afternoon. #siliicecream #irony @ 1st Colonial Grill instagram.com/p/onRYD8xETy/,Not Sarcasm
4.72E+17,train,"Galatians 1:10 KJVA For do I now #persuade #men, or #God? or do I #seek #to #please #men? for if I yet pleased men, I #should #not (1/2)",Not Sarcasm
4.72E+17,train,@sonyxperia your latest system update has caused my Xperia z to crash as well as. Continually lose signal... #not impressed,Not Sarcasm
4.73E+17,test,Sooo shocked that the madden cover vote finals is between sherman and newton #NOT,Sarcasm
4.74E+17,test,"There's a coder here who looks like an older @chelis714. He's called ""the janitor"" because he cleans up teammates coding disasters #irony",Not Sarcasm
4.76E+17,train,At 1630. We've Not Sarcasmly spent the entire day at the dfac pretty much. Probably going to do some hard drinking tonight so I can....,Not Sarcasm
4.63E+17,train,I love how my day can go from totally awesome to totally awful in seconds #sarcasm,Sarcasm
