,0,1,2,3
183,475725076848181248,train,People who don't believe in evolution are literally as dumb as the monkeys they came from #irony,Hyperbole
452,463603297904254976,test,What a shame I'm going to miss assembly -_-  #sarcasm,Sarcasm
177,463497515229122561,train,"@AllbrightNFL ...but did Mett steal crab legs?  If not, no worries! #sarcasm",Sarcasm
179,463487469460418560,train,"If there was a device that fit in the palm of my hand that let me talk to someone miles away, I'd definitely buy it #sarcasm #noonecalls",Sarcasm
30,476437119825903617,train,Couldn't have a bigger smile on my face.  Literally feels so good to be on vacation,Literal
475,472651084310519808,test,"Irony & Boe! - London, United Kingdom. #irony #boe #london #graffiti #streetart instagram.com/p/opYV5dqqXL/ pic.twitter.com/wn5B7lWwUj",Not_enough_context
474,463312872139788289,test,@rc_kris @glennbeck @oliverdarcy #HilariousVideo had to be #sarcasm,Not_enough_context
458,460174044575186946,test,It just keeps getting better and better! NAACP To Honor Noted Racist Donald Sterling (Again) deadspin.com/naacp-to-honor… #Irony,Sarcasm
375,472827903810756608,train,ik nobody is watching it or promoting it rn ... #WatchProblemOnVEVO #ihateyou #jk #no #im #not,Literal
189,473087074740862976,train,@MaryamAkk itha a7d yabi na9ee7a yro7 7g Maryam she gives the best advice #not #jkjk #howisshemybestfriendlol,Sarcasm
440,473071427294613504,test,Feeling for you @bigrayoconnor have a mild hangover myself. Luckily I've had to take my 5yo to a party in a soft play place #tranquil #not,Sarcasm
165,472845405831852032,train,What's happening ? #not a lot but I like it !!!!!!!!£!,Literal
33,472699690023399424,train,Everybodys looking forward to the fight bla bla bla while ill be home alone #again #funweekends #not,Literal
21,472133688558231552,train,#irony - When #bowlcutcatlady is eating a Lean Cuisine that smells like a litter box full of canned cat food turds. #officelife,Literal
223,472696559961133056,train,"First Capital Connect, great train service #not #london",Sarcasm
448,472800059281514496,test,@ingramlaw I've also noticed that each overrun is larger than the previous month's. I'm sure it's all completely unexpected. #not,Sarcasm
379,472747472864161792,train,Trying #not to be #fucked u  #0need to #fuck others...  #method,Literal
366,464283119722721280,train,@ActlHumanBeings 2/2 ....the Tea Party would cease to exist as a political force virtually overnight.,Literal
45,472213635864203265,train,Oh all the jokes about VANEK being in Minnesota are so funny #not,Sarcasm
340,472030439255719937,train,"#p2 Put a Fork in It, So to Speak [Talking Points Memo] bit.ly/1mKzsOp",Not_enough_context
438,463506697051729921,test,What?!? An elite D like Doughty takes a penalty?!? #Sarcasm,Rhetorical question
298,462999189191155713,train,@Squawka Mourinho the mastermind. The greatest tactician. The best manager. #sarcasm #parkthebus,Sarcasm
322,473078161345740801,train,Texting because our 1 floor house is so big #not #jk,Sarcasm
161,465396513183891456,train,@redboardie I know as all the countries vote for their friends and neighbours so to speak we were lucky to finish so high up,Literal
443,472202900404711424,test,Nothing better than watching the spelling bee on sports center #not,Sarcasm
266,472358116634275840,train,Surprise pt test after being home on leave for two weeks. #goarmy #NOT,Literal
384,472401674532048896,test,"It's more arrogant to disagree with the ""Moetzes Gedolei Hatorah"" than it is to call yourselves ""Moetzes Gedolei Hatorah"" #irony",Literal
14,472348564992307200,train,#Irony | i love this fishing story: Two anglers skewered by a blue marlin off coast of Durban j.mp/1jA468i,Literal
53,463515929612017664,train,Thank you Microsoft. I appreciate how effective and not spastic Microsoft word is. #sarcasm,Sarcasm
239,472052481225424896,train,Facebook product director furious at Facebook’s effect on news #irony via @voxdotcom ow.ly/xoeII,Literal
460,472256566339854336,test,"Dad bought 2 kayaks, but friends can't use the 2nd one, no one else in my family likes to kayak, and I can't go alone...makes sense. #not",Sarcasm
192,463390540684206080,train,Yup like he did all season long #Sarcasm RT @JoshEberley: LeBron is going to do bad things to the Nets.,Sarcasm
419,464307495976968192,test,"America is endless war, massive debt   Virtually, all nations have succumbed to this tyranny, with two notable exceptions, Russia &China",Metaphor
92,463042121079873536,train,"As i've said all year, Alex Avila is a great hitter.  #sarcasm #tigers @tigers",Not_enough_context
413,473480562209226752,test,"When the Fortune 500 co's profit is over $1trillion it's a sin. When the nations debt is over $1trillion , not so much. #irony",Hyperbole
273,472381736408858624,train,Back to class for me. Almost two hours of Shakespeare and Renaissance await me. Oh joy! #not,Sarcasm
230,473090355319943168,train,@CNBLUE_4 #protectbyourself<>#when youbgo iutsidebut this is in your mind<>#not controlled over<>#by tecnorogies,Not_enough_context
75,463047902189723648,train,101.4 fever. I'm livin' the dream #sarcasm,Sarcasm
315,463367863210737664,train,Love starting my Monday off with a nice phone call to the folks at Good2Go WSDOT. Their customer service levels know no bounds. #sarcasm,Sarcasm
143,472787571274047489,train,@pileoftwit @nhdogmom they'll be happy to have weapons then...can blast their way out! #irony,Literal
234,472482852211552259,train,@MikeReadUK out 1st round there already got there big pay day holiday booked #not intrested,Not_enough_context
277,472485393317638144,train,What do I have to do on this fine Friday night? Absolutely NOTHING omg yay 4 me #not #nofriends  :~),Sarcasm
44,465343848089419776,train,"""Edith's about as mysterious as a bucket."" Sometimes Downton Abbey shade is darker than anything else I've ever heard.",Metaphor
70,472193526856704001,train,Getting pulled over is a great way to start my summer. #not,Sarcasm
465,472134065831702528,test,I totally love it when I walk around with deodorant marks on my shirt all day. #Not #StruggleBusLife,Sarcasm
240,475770445904760833,train,I was cycling earlier and nearly got hit by an ambulance. #irony,Literal
356,475323653736108032,train,"After asking staff at @WalmartCanada to call another store to confirm inventory they said: ""It's hard to get thru you know."" #irony",Literal
113,472301502900764672,train,#TAKE YOUR CHOICE UKIP MEP says #ABSENCE of #WHITE FACES in Ilford London WORRYING #RACIST? #NOT ENOUGH #BLACK FACES in BBC #RACIST?,Not_enough_context
327,463046003487035392,train,@BWWings glad I came out to watch the Minny and blackhawks intermission... #Sarcasm #ChangeTheDamnChannel,Sarcasm
457,472544069709594624,test,@JMV1070 Glad Paul George told #ChrisHaggen that he was going to come out aggressive.#not,Sarcasm
344,472096470767009792,train,Champions League and going for the prem again next year and we buy Lambert #logical #not,Not_enough_context
72,473009518247698432,train,Shout out to @CrestynWhite for following me on twitter!!!! #NOT,Sarcasm
249,472485306252677120,train,#Tibetan is #not the same as Chinese but a completely different & unique #language #trueTibet,Literal
8,472342236655804418,train,Watching @MTV there is someone featuring  on a programme called mahogany but not a bit tough #irony,Literal
453,465370216281952256,test,My phone screen is just about as shattered as all my hopes and dreams.,Simile
227,472197680228470784,train,NC #Democrat @SenatorHagan forces #ObamaCare down our throats but now condemns the VA for inferior health care? #irony,Rhetorical question
59,463315894836674560,train,"It's okay people on the platform massing around the train door wanting to get on, I can phase through matter I'm like Shadowcat #Sarcasm",Sarcasm
91,472448110573010944,train,@Trills_91 Dat bad? Past decade all I've been doing is working on staying awake + being present in the moment. Why haven't I noticed? #irony,Not_enough_context
324,472799826141528064,train,Great idea not to wear sun cream today #not #burnt,Sarcasm
303,473061796379521025,train,ready to start 3 weeks of prac in a kindergarten classroom tomorrow #not,Sarcasm
294,463129152720084992,train,You know what really helps my recent abandonment issues ? When EVERYONE leaves suddenly and I'm alone. #sarcasm #foreveralone #depression,Sarcasm
55,472944250531770368,train,Thunder are going to be in big trouble without Derek Fisher next season. #Not,Sarcasm
226,463007696065536000,train,@whitneyltuttle @sargentcass Uffda. He sounds like a charming fellow. #sarcasm,Sarcasm
319,460318153911054336,train,Waking up at 3am for no reason! It's super fun! #sarcasm,Sarcasm
9,463597759690330112,train,wow i didnt realize how hungry i was until my friend asked me if i had eaten anything yet tHANKS SO MUCH JAYPEE THANK U lol #sarcasm,Literal
109,472329111160246272,train,Softballs anyone??  @BarackObama interviewed by Kelly Ripa.  #hardhittingjournalism #not,Not_enough_context
343,472074952007757824,train,A good use of our new standing desk. #irony pic.twitter.com/bd3TKMuQUJ,Not_enough_context
58,462997069909987328,train,"@Gbone82 At least he keeps possession well and never kicks it straight in to touch, that's the main thing #sarcasm",Sarcasm
228,475801007495348224,train,@tessa_York @AU55SEY @will60093 @FirstBusYork oh well -- international fairness conference by cyc tomorrow #irony #morevanityIfear #actionpl,Not_enough_context
136,472293961831546880,train,So this is ironic: I'm cooking chicken stock while vigilantly guarding the chicken coop against our local bear. #countrylife #irony,Literal
437,463514975630557184,test,@thEnafe94 there are many things he's doing right in life. #sarcasm,Sarcasm
60,463098769589157888,train,andyandandybruce and I are super talented sign makers at 11 pm.  #sarcasm #thegreatyardsale2014 instagram.com/p/nl-zZWqC0c/,Sarcasm
409,472290967450820608,test,@tenajtiger says its going to be a heady 13 degs here today sundress on it is then #not back in a fleece and the plants are all hiding,Sarcasm
372,475390334675857408,train,@CIA has almost a half million followers but is only following 25 ppl. #irony,Literal
197,472927538927656961,train,You are Governor of your Mind #Not me : Makv @makvg #makvquiz #askmakv #communication #algeria,Metaphor
18,472427971597578241,train,There are so many people wearing Hawaiian shirts around here that I feel like an outsider. #irony,Literal
311,472061499972648960,train,@ajaugello1 yeah you're right you have the sickest flow on the team aj #not,Sarcasm
105,463587571029643264,train,#mother #eCards #sarcasm instagram.com/p/npdFYHnnQR/,Not_enough_context
167,472043960941412352,train,"@small_affair Same here, my company is about to cover it, but Fortuna decreed that I pull in some lagniappe to take off the edge so to speak",Literal
71,472804013529112576,train,Just love cleaning up cat sick straight after dinner #not #disgusting,Sarcasm
47,463418912546488320,train,New shisha bar opening soon on the #CurryMile.. now that's novel! #sarcasm pic.twitter.com/r5azikiwmm,Sarcasm
316,463128842454839297,train,Yay for another women's match horribly placed in the PPV line-up! #sarcasm #ExtremeRules #WMRepeat,Sarcasm
272,463490511957803008,train,Shocked lol.  It's playoff season and there's no hockey on @TSN_Sports #sarcasm,Sarcasm
61,463478930519781376,train,Let's see how loud you can get your motorcycle!? cus I think it's cool to be annoying... #sarcasm,Sarcasm
363,473529746782191618,train,@MediacomSupport is having me fax my bank statement as proof of payment. #Irony #1990sService #FaxMachine #EcoBilling,Literal
37,472567224713379840,train,@RadioShack loved having 1 of your employees come in to where I work& harass me while I'm working to shop at your store #NOT #Unprofessional,Sarcasm
246,475994366780006400,train,Former #college stars sue #NCAA over #money. Does anyone else but me see the #irony here?,Literal
374,472075982787313664,train,"I always find it bizarre how the proclaimed ""investors"" spend more time watching the tick-by-tick action than the day-traders. #Funny #Irony",Literal
309,463608361154408449,train,@Crows_Fan_Aaron @CMSean23 I'm taking the piss..... #sarcasm,Metaphor
331,472813097212977152,train,What a beautiful day to spend inside #sarcastictweet,Sarcasm
305,472813091449630720,train,I really wish I could say I was getting my license Monday. #not #gottawait #september,Sarcasm
287,472263345202941952,train,Knitting needle in my foot was a nice end to my night. #not,Sarcasm
166,472900635319631872,train,#Yoganomics is #not affiliated with these #spam accounts:  @mmantra1 @meditation1988 @yogajoy11 @yogaclass4u @yogaguru5 @yogadealz36,Literal
112,472156750582661120,train,This is so fkng hilarious #funny #comic #irony #video pulptastic.com/22-pictures-wh…,Not_enough_context
190,476415252121542656,train,Could LITERALLY cry waiting to get my eyebrows threaded,Hyperbole
41,463309321070067712,train,"Whoopey, I have a walk-in. Yay for Monday.  #sarcasm",Sarcasm
88,463293590589153280,train,Heart to hearts before school are always great. #Sorry #That #Was #Sarcasm,Not_enough_context
68,472794654346608641,train,Show me a #itk with references to #lfc & Ricky Lambert on their twitter TL from a week ago.  I'll sit here and wait for all the replies #not,Sarcasm
335,472854097201471489,train,"@SparkleyTwinkle @defunckt nobody is a dick here, I will not have it. #not #have #it",Not_enough_context
217,463275674653171712,train,So ready to go to our nice lovely school. Where everyone likes me and we can all be ourselves #sarcasm,Sarcasm
464,472301881528971265,test,@_aylesbury @olliffejames Maybe Ukip have a point. No more lawn fairies playing football!  Might have to vote for them. #not,Sarcasm
348,472411846168035328,train,I think its hilarious that certain folk on nat radio from FF/FG/L talk about SF policies destroying the country #lolz #irony #todaysor,Not_enough_context
398,472485365719531520,test,#Tibet was #not 'liberated' by China but invaded & illegally occupied #trueTibet,Literal
32,472485116309417984,train,"#Tibet was #not a perfect society but compared to the genocide of China's recent history, it was a relative paradise  #trueTibet",Literal
86,471790541290491905,train,@FRONZ1LLA w o w you just talk so cool like you don't care about your own success #winner #sarcasm,Not_enough_context
157,472222525556920321,train,Honestly It feels like my parents just think I'm not good enough for anything  and I fail more than I succeed. #thx4thesupport #NOT,Literal
345,463514314499178497,train,Didn't see that coming... #Sarcasm,Not_enough_context
26,472157912467378177,train,Just saw an undercover Seattle police officer driving an escape pull someone over. #irony,Literal
243,472263936080089088,train,spenDING MONEY isntz a FUN GAMES. #NOT likes making it #BLASKOKNOWS,Literal
22,474476368843927552,train,Probably been pointed out by now that David Villa just won La Liga with a team that wears Red and White stripes. #irony,Literal
137,473229521127497732,train,No you just got it. RT @Hebel1_2: “@baron_batch: Mismanagement if life is simply the mismanagement of words.” #irony,Literal
271,472227094077136897,train,Why in the world would you ever drink paint? #yum #not,Rhetorical question
73,472246719736848384,train,Post night shift. Waiting on slowest barrista in the world! No energy to get upset til I've consumed coffee #irony #nightshiftproblems,Hyperbole
12,473935669211824128,train,"@JeffReedMO @upstateNYgolfer I'm pretty bitter to everyone. An equal-opportunity bitterness, so to speak.",Literal
216,463362609656647680,train,Is it time to start drinkin yet?? Lol rodeo team will begin when classes r over.. Cause everyone knows education comes first!! Haha #sarcasm,Sarcasm
139,472037276487135232,train,"@Xandara I'm glad to hear that at least you're unpacked, so to speak. Keep on truckin', mama! <3",Literal
468,463308233432924160,test,"@WhatTheSach: @WHO you imposed ban on Pak, no offence, I can't afford traveling abroad either way #Pakistan #Sarcasm",Not_enough_context
3,474587951746523136,train,"Just seen a Cardiff fan mock the Villa over Senderos' statement that Villa are a ""great club"". Yes, a Cardiff fan. #irony",Literal
155,472867714735017984,train,"Safe to say I am furious and cannot speak to her , looked forward to it so much and missed the KO! #NotHappy",Literal
208,475389493617623040,train,England match abandoned due to thunder storm. Great timely advert!! #irony #EngvHon pic.twitter.com/iUJcLhhRXx,Sarcasm
185,472307201973821440,train,I love randomly waking up in the middle of the night #not #justwannasleep,Sarcasm
132,472341753391898625,train,wow just had kagerou project spoiled that is #not #cool,Literal
236,472470237129244672,train,"@ThisGuardGuy omg...never do that...not even to barrow it...#not, but at least it's not a King sabre.",Not_enough_context
51,464647737599086592,train,@KaeyiDream I got my first phone a week before year 7. I still have it three years later. It's quite literally a brick. No Internet either,Other
175,472164441984077824,train,@NiallHoranHasnt and the party was so much fun #not because it was in her house but she was outside with some people all the time,Sarcasm
449,463423660804407296,test,I bet the only reason how 50% of the U.S Knows how 2 read is because of Twitter #sarcasm,Sarcasm
48,463044733204312064,train,@BruceMiles2112 That there is national tv material #sarcasm,Sarcasm
99,472659787813900288,train,"Back from shinny, still awake at 3am. Need to get up in a few hours to go work on cars. Would be a good day to end my spelunky streak. #not",Not_enough_context
186,472211962495922177,train,Can't wait to see all those tweets about pretty little lairs again... #NOT,Sarcasm
463,463474499757670400,test,"I wish I had ""Cinco De Mayo"" off so I could go get hammer faced....... #ToBeAKidAgain .....#Sarcasm",Sarcasm
428,463052850877067264,test,Another wreck....Who Knew?  #Sarcasm #Aarons499 #NASCAR,Rhetorical question
376,472474787240230912,train,@GaryLineker #not quiet impressed with the way England is playing yet # no spark... Jo Heart man if the match over all good result though,Literal
252,463569103803150336,train,Not all of us have cargo pants to strut you know #justsaying #sarcasm,Literal
133,463223890446397440,train,My mum said I'm not even close to being 20 :D And that my mentality is not even of a 19 year old. #flattered #sarcasm,Literal
386,472345543705112577,test,#Google to make available details requested to be deleted as part of 'right to forget' form #irony bbc.co.uk/news/technolog…,Literal
400,472870092288446465,test,Gonna have dinner night to the light of candles lmao #not,Sarcasm
116,472442426989477888,train,"@SarinaPotgieter i wish i could, but I'm going to see one direction instead, #not my idea!",Not_enough_context
23,472929602252197888,train,When people send question marks as form on how to start a conversation? #Smooth #Not,Literal
193,472214971817152512,train,I absolutely love hearing all about coworker outings that I wasn't invited to. #MyFave #NOT,Sarcasm
328,472474277556809728,train,Isn't it the best when your hangover hits you at 1pm? #not #psych #owmyhead,Sarcasm
178,472456224425136129,train,@9smiler Spike was singing his praises at his book launch today. #not #shreddedhim,Sarcasm
275,473118662312722432,train,Thank you man on the plane for  coughing in my general direction and subsequently putting your ass in my face #not,Sarcasm
220,472447977400053760,train,Good to know Skinny Cow brand now sells candy and frozen-treats. #not,Sarcasm
241,472325117125885952,train,'Time of your life' playing through the ceiling. #irony #lastexam #lastdayatuni #forever,Literal
412,465457274069057536,test,don't you love when you believe someone and they turn out to be a fucking fake hypocritical liar,Rhetorical question
282,472380975704711168,train,I hope kenny keeps kicking my seat i reaply enjoy it #not #h8you,Sarcasm
336,472317652187090944,train,Seems legit. @bobbyosbornertx #tenor #irony #bluegrass #bobbyosborne #rockytop #osbornebrothers #country instagram.com/p/onfEFWIC_F/,Not_enough_context
110,472050000055521280,train,Tweeps here talking isht about other tweeps they've never even met then when disaster strikes tunajidai #weareone. #Irony,Not_enough_context
20,465360335478611968,train,Russia's record in gay rights is about as good as it's record in non-potato based alcohol.,Literal
25,472764489583321088,train,I broke my bed. Smh... Now I gotta get me a new one. #great #NOT,Literal
131,472141891300257792,train,"Customer just asked if he could ""speak to a man"" when the answer wasn't what he wanted to hear. So no #NotAllMen, but #YesAllWomen",Literal
323,463473880259375105,train,"Oh good, the shield versus the Wyatt family. Cause I haven't seen that this year #Raw #sarcasm",Sarcasm
359,472191233348349952,train,Ben thinks he's so tough now cause he drives a Harley Davidsonnnn #OoooOooImscurrred #Not,Literal
422,463014665208217600,test,...because calling people out is the way to reach out to them. #sarcasm,Sarcasm
387,472199017858748416,test,First step in the DIY instructions for fixing a broken iPhone power button is powering off the phone. #irony #fail m.imore.com/how-diy-repair…,Literal
430,472863773682712576,test,@taraelanna all these Mindy tweets make me so excited to come home #not,Sarcasm
439,463535161791893504,test,@isurvivalskills @atomiktiger Ahhh hahahaha!  We got food .. How about water?  So freaking dangerous! Must ban that too! #sarcasm warning!,Sarcasm
313,472272338005024768,train,Nothing like having a panic attack out of nowhere #not,Sarcasm
141,472217336267952128,train,Lets see how late my thoughts keep me up tonight #goodnight #not,Literal
119,463315678133354497,train,@InvisHero 100% agree. They also test our creativity and determination. #sarcasm,Not_enough_context
209,472461713192013824,train,@wbir they look like a bunch of scholars that are headed to Harvard. #NOT,Sarcasm
121,472346146594373632,train,I so wanted a little lunch nap. Tried and tried but just wouldn't happen. #naptime #not,Literal
90,472587912836816896,train,Why is my dog barking this time of morning!!! Very close to having a dead dog!! #early #not #happy #dog #stupid #barking #im #tired,Not_enough_context
127,476480129125085184,train,@pyt10071989 ash it's literally non stop jokes it's that's good I need to watch it again like now haha,Literal
399,472455738770862081,test,@ashleydeutsch He's only a little douchey #RightSwipe But I #PlayHardtoGet #Irony #Office #OhhGeez But then I get fired not you...,Literal
87,474761192557531136,train,@worddroppings @jen_hintz Nope. But those steroids you just avoided do. #irony,Not_enough_context
84,472056591924330496,train,Love to know my 400 dollars I pay a month to campus ridge provides me with a safe and secure place to live #NOT,Sarcasm
34,465561545720995841,train,Always hilarious when somebody tweets complaining about someone when they are exactly the same #irony,Literal
368,472306377894137856,train,New NHS chief suggests that businesses should financially reward employees for losing weight and adopting a healthy lifestyle #not@mysurgery,Literal
218,472826907516350464,train,The crowd doing the wave in the background should make him feel a bit better. #not #mexecu,Sarcasm
403,460316897800896512,test,Love when you're wide awake at 3 in the morning like I really wanted to think about everything going on #sarcasm,Sarcasm
312,476441484129222656,train,@smwalters6 it's literally so much lmao. And I pretty much curve this nigga once a week,Hyperbole
164,472485255191228417,train,#Tibet is #not a small #Himalayan #kingdom It's about three times the size of #Texas! #trueTibet,Literal
67,472084941506088960,train,@juicyjustinbieb just followed me and I got excited for a second #not,Sarcasm
11,474989465371287553,train,"Fiji water is the most expensive h2o in America, yet you can't drink the water when you're actually here... #irony",Literal
411,472144153204502529,test,Louise talking about diets is like me talking about having a proper job #Irony,Simile
238,472171476721098753,train,@NBAonTNT @sergeibaka9 @spurs Charles was an excellent player. BUT when did he become an expert. He was an athletic player smart player #not,Not_enough_context
128,472441382980681728,train,"Modi came to power by bashing Gandhi dynasty, now they are talking his partnership with Pranav Mistry like Rajiv had with Pitroda  #irony",Literal
441,471700691753263104,test,Just got an email from @eBay asking me to reset my password. I’m so glad they are on top of security. #sarcasm,Sarcasm
74,472693111856963584,train,"It doesn't matter how much you suffer, never mention #notallmens errors, lest society crumble and males feelings get hurt #sarcasm",Sarcasm
274,465385443186737152,train,@louistheroux about as subtle as a wrecking ball on a demo site lol,Simile
81,472220918333186048,train,So who writes the poem about Maya Angelou dying? #ponderit #irony,Rhetorical question
362,472101797038129152,train,Thought of the day #Perform #under #passion #not #pressure by our own Vardhan Sir @OfficialSHQfc @8paramsingh @kripsuri @HarshitaGaur12  <3,Literal
380,463151098929233920,train,Really hope people don't think I'm serious about that... #humor #sarcasm #lol #laughoutloud,Literal
391,472899768386351104,test,@Jaketapper: We need more coverage on the way the republicans have trashed NC. Our state was once the darling of the south.#Not anymore!,Literal
461,463504146180501505,test,And who would have thought feathers would make maternity wear? #sarcasm,Rhetorical question
414,472846948706549760,test,Spending the day with my family is such a blast. #Not,Sarcasm
169,465362292113412096,train,I'm about as confident as a wet turd.,Sarcasm
402,472507489179942912,test,"Twitch will never load who's watching for me on any channel. It's pretty great. #not #laterman If you're watching, say hi so I know you are!",Sarcasm
1,463866530187329536,train,My favourite mythical creatures are the happy girls in tampon commercials #YeahRight,Literal
172,463000268569735168,train,So...anybody know what the date is today? #Sarcasm,Rhetorical question
444,463498748803694592,test,Because we didn't see this coming. #RAW #Sarcasm,Sarcasm
355,472489779972825089,train,@lovelarah Funny? #Not :-( I wish I'm stucked in ....say 32:-),Not_enough_context
297,472912647835619329,train,I love when my mom plans pretty much a grad party for me when I had already told her I just wanted a family dinner. #not,Sarcasm
330,463568460300042240,train,"@OtherJohnII @otherjohnii @mc79hockey my oil missed out on Schneider, they won't on Kesler. 3rd overall and gagner. #sarcasm",Sarcasm
202,463499383426650112,train,"before I die, I want to go on a tour throwing eggs at all of the frank lloyd wright houses.   #sarcasm #terriblepersonideas #wouldbefunnytho",Sarcasm
293,462999392572567553,train,May the 4th be with you??? I just don't get it!!! #Sarcasm #ImNotANerd #Jokes,Sarcasm
126,476426939318935552,train,I mean I can't be too good when I very seriously and literally use the bitch clap.,Literal
291,460202576500502528,train,Parties were you dont know people are the best!!!! #Sarcasm,Sarcasm
248,472229820508934145,train,Procrastinating going to bed - because I'm too tired to do the bedtime ritual. #irony,Literal
80,472827125427601409,train,Made an Instagram. Because we all know I just need another social media account. #not,Sarcasm
446,472394387436367873,test,Im sorry to everybody who has to watch me dance tonight #Not #DealWithIt,Sarcasm
180,463460957100847105,train,"Well, 1st qtr goes to the refs. Nice job guys #sarcasm #pacers #lamesauce",Sarcasm
134,465397944758194176,train,"Parker is thoroughly outplaying Lillard in the series. He's been baptized, so to speak. Interesting to see how he fares next year.",Literal
259,472796107979096064,train,@DarthMeerkat @brewer_lar So animal loving vegans don't take the time to understand the needs of their cat? #irony Cats NEED meat!,Literal
135,474711740165283840,train,"""I can see someone like me being arrogant,  but I'm not."" #irony",Literal
432,463042343562907648,test,Love it when plans come together #sarcasm,Sarcasm
140,473528256633659392,train,@muafckinDriaaa u tell me text u but u don't text back #irony of dat,Literal
388,472286858605785088,test,"Never, never, EVER would I stay up this late. It's now 4 days of this and it's all thanks to @alyssaher.   #SarcasticTweet #NotThankful",Literal
235,463001914171748352,train,AYYYY Today's #NEW Liquid Crystal is here and WE'RE STUCK WITH PUZZLES! #sarcasm lmao Check it out & RT! youtu.be/NJDdTw_Vazc?a,Not_enough_context
390,463514323508539393,test,"...welp, lmaooo didn't see this coming #sarcasm #raw...",Literal
